task,variant,source,trial,comparison_status,counts_for_score,reward,exception_type,valid_verifier_result,timeout_upload_result,result_path,wall_duration_sec,environment_setup_sec,agent_setup_sec,agent_execution_sec,verifier_sec,input_tokens,cache_tokens,output_tokens,token_usage_available,token_usage_source,total_input_output_tokens,uncached_input_tokens,uncached_input_output_tokens,cost_usd,kimi_session_id,kimi_wire_path,kimi_usage_turns,kimi_input_other_tokens,kimi_input_cache_read_tokens,kimi_input_cache_creation_tokens,kimi_llm_first_token_latency_ms_mean,kimi_llm_first_token_latency_ms_median,kimi_llm_stream_duration_ms_mean,kimi_llm_stream_duration_ms_median,kimi_llm_stream_duration_ms_sum,prompt_chars,previous_failure_chars,env_snapshot_chars,injected_context_chars,kimi_stdout_bytes,kimi_stream_events,kimi_tool_call_events,claude_log_bytes,claude_trajectory_steps
torch-pipeline-parallelism,without Meta-Harness,claude-code+kimi-k2.6,torch-pipeline-parallelism__pqCuvvh,timeout_failure,False,0.0,AgentTimeoutError,True,True,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-torch-pipeline-parallelism-claude-code-k6/torch-pipeline-parallelism__pqCuvvh/result.json,991.553,1.644,1.704,900.003,77.621,0,0,0,True,harbor_agent_result,0,0,0,,,,,,,,,,,,,,,,,,,,174429,1
torch-tensor-parallelism,without Meta-Harness,claude-code+kimi-k2.6,torch-tensor-parallelism__JwtXP8b,failed,False,0.0,,True,False,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-torch-tensor-parallelism-claude-code-k6/torch-tensor-parallelism__JwtXP8b/result.json,745.099,1.889,1.97,639.38,91.495,38982,38966,46800,True,harbor_agent_result,85782,16,46816,,,,,,,,,,,,,,,,,,,,110659,5
torch-tensor-parallelism,with Meta-Harness,kimi-code+kimi-for-coding,torch-tensor-parallelism__MraQAPJ,passed,True,1.0,,True,False,/Users/hugo/Projects/Harness-TrajecDebug/artifacts/harbor-runs/tb21-torchtensor-kimicode-with-metaharness-20260610T161752/torch-tensor-parallelism__MraQAPJ/result.json,520.383,0.936,0.001,381.575,127.022,89899,53248,9712,True,kimi_session_wire,99611,36651,46363,,session_f1f73086-106e-4913-a201-2398b2d12112,/Users/hugo/.kimi-code/sessions/wd_kimi-code_6eeaa524c450/session_f1f73086-106e-4913-a201-2398b2d12112/agents/main/wire.jsonl,3,36651,53248,0,2388.333,2544.0,123658.0,7045.0,370974,7547,3173,987,4160,7907,6,2,,2
train-fasttext,without Meta-Harness,claude-code+kimi-k2.6,train-fasttext__eALjEAg,timeout_failure,False,0.0,AgentTimeoutError,True,True,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-train-fasttext-claude-code-k6/train-fasttext__eALjEAg/result.json,4580.631,150.284,1.615,3600.003,818.141,1511875,1511659,21830,True,harbor_agent_result,1533705,216,22046,,,,,,,,,,,,,,,,,,,,1673049,55
tune-mjcf,without Meta-Harness,claude-code+kimi-k2.6,tune-mjcf__z7Nm4kg,passed,True,1.0,,True,False,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-tune-mjcf-claude-code-k6/tune-mjcf__z7Nm4kg/result.json,453.899,30.957,1.525,354.459,56.638,830804,830656,16860,True,harbor_agent_result,847664,148,17008,,,,,,,,,,,,,,,,,,,,85658,38
video-processing,without Meta-Harness,claude-code+kimi-k2.6,video-processing__WQp4fB8,failed,False,0.0,,True,False,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-video-processing-claude-code-k6/video-processing__WQp4fB8/result.json,2087.907,81.009,1.559,1904.59,90.522,10183084,10182456,164378,True,harbor_agent_result,10347462,628,165006,,,,,,,,,,,,,,,,,,,,3940387,158
vulnerable-secret,without Meta-Harness,claude-code+kimi-k2.6,vulnerable-secret__TNHvQTe,passed,True,1.0,,True,False,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-vulnerable-secret-claude-code-k6/vulnerable-secret__TNHvQTe/result.json,190.307,56.181,1.685,84.717,37.516,373711,373627,5946,True,harbor_agent_result,379657,84,6030,,,,,,,,,,,,,,,,,,,,64199,22
winning-avg-corewars,without Meta-Harness,claude-code+kimi-k2.6,winning-avg-corewars__AVWqWtr,passed,True,1.0,,True,False,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-winning-avg-corewars-claude-code-k6/winning-avg-corewars__AVWqWtr/result.json,1216.115,131.597,1.489,1046.692,26.081,3965344,3964944,134413,True,harbor_agent_result,4099757,400,134813,,,,,,,,,,,,,,,,,,,,328554,101
write-compressor,without Meta-Harness,claude-code+kimi-k2.6,write-compressor__TnHd2go,timeout_failure,False,0.0,AgentTimeoutError,True,True,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-write-compressor-claude-code-k6/write-compressor__TnHd2go/result.json,1028.553,83.394,1.537,900.004,33.365,12,0,462,True,harbor_agent_result,474,12,474,,,,,,,,,,,,,,,,,,,,16897,4
write-compressor,with Meta-Harness,kimi-code+kimi-for-coding,write-compressor__eSjPkhV,timeout_failure,False,0.0,AgentTimeoutError,True,True,/Users/hugo/Projects/Harness-TrajecDebug/artifacts/harbor-runs/tb21-write-compressor-kimicode-with-metaharness-20260610T224421/write-compressor__eSjPkhV/result.json,1063.287,107.072,0.001,900.011,45.423,55361,36864,29642,True,kimi_session_wire,85003,18497,48139,,session_7dd0804e-43c4-4969-8e1d-633933ee1e3d,/Users/hugo/.kimi-code/sessions/wd_kimi-code_6eeaa524c450/session_7dd0804e-43c4-4969-8e1d-633933ee1e3d/agents/main/wire.jsonl,2,18497,36864,0,2201.0,2201.0,408687.0,408687.0,817374,17119,13422,1141,14563,,,,,
